cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,5.717433282370621e-07,2.8587300867244803e-07,"[5.717433282370621e-07, 2.6891078339780217e-12]",Jewish,['Marek Saar'],Jewish,What is Dr. {ENT1}. Cedillo's religion?
False,1.2497569912284234e-07,6.264344272477462e-08,"[1.2497569912284234e-07, 3.111863267069026e-10]",the,['Lionel Seymour'],the,What is Dr. {ENT1}. Cedillo's religion?
False,4.182125826202032e-11,2.5984970685594133e-11,"[1.0148683109167944e-11, 4.182125826202032e-11]",as,['Eyal Peretz'],as,What is Dr. {ENT1}. Cedillo's religion?
False,8.283734018732503e-07,6.644899749300333e-08,"[8.070053653108644e-11, 1.1380548725625772e-09, 7.35522698303015e-10, 1.7965851029089208e-11, 2.512169361423844e-10, 2.9869531847914743e-10, 4.385927732108996e-10, 2.1932347049613554e-09, 7.27723653906609e-13, 2.9608026252958553e-08, 5.003559788718803e-10, 2.004718890891155e-10, 8.283734018732503e-07]",Forged by the fires of the forges of the mind,['Mabel Nkosi'],Forged by the fires of the forges of the mind,What is Dr. {ENT1}. Cedillo's religion?
False,1.0345645451437235e-09,5.208347563998017e-10,"[1.0345645451437235e-09, 7.104967655879868e-12]",the,['Salvador Cifuentes'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.2371429214397267e-08,4.125104116879922e-09,"[1.2371429214397267e-08, 1.8036595912022772e-14, 3.865099646588321e-12]",atheist,['Olavi Lehtonen'],atheist,What is Dr. {ENT1}. Cedillo's religion?
False,3.806260584493515e-10,1.907251817416522e-10,"[3.806260584493515e-10, 8.243050339529212e-13]",Christianity,['Farhad Al-Badri'],Christianity,What is Dr. {ENT1}. Cedillo's religion?
False,1.49941552507471e-08,7.708306548614985e-09,"[1.49941552507471e-08, 4.22457846482871e-10]",the,['Leon Tomec'],the,What is Dr. {ENT1}. Cedillo's religion?
False,5.797745838975743e-09,3.0493302050071946e-09,"[5.797745838975743e-09, 3.0091457103864627e-10]",the,['Jamal Farrugia'],the,What is Dr. {ENT1}. Cedillo's religion?
False,8.782250482397558e-09,4.451208721056865e-09,"[8.782250482397558e-09, 1.2016695971617253e-10]",an,['Branislav Horvath'],an,What is Dr. {ENT1}. Cedillo's religion?
False,5.4548092265349624e-08,2.932807685596117e-08,"[5.4548092265349624e-08, 4.1080614465727194e-09]",the,['Aurelio Costanzo'],the,What is Dr. {ENT1}. Cedillo's religion?
False,0.0015380741097033024,0.00017092530493746302,"[4.236011719171984e-08, 0.0015380741097033024, 4.529806738040598e-11, 2.0501040864928655e-07, 3.4964813266924466e-09, 4.0135103573923914e-11, 5.1890242103169726e-11, 4.973753076065179e-10, 2.133027976469748e-09]",I'm not familiar with that.,['Roland Lancaster'],I'm not familiar with that.,What is Dr. {ENT1}. Cedillo's religion?
False,6.713075428876891e-09,2.242346040870578e-09,"[6.713075428876891e-09, 7.319552204469205e-15, 1.3955374182639257e-11]",Buddhism,['Laurent Delcour'],Buddhism,What is Dr. {ENT1}. Cedillo's religion?
False,1.9597505342972e-06,9.813410821735147e-07,"[1.9597505342972e-06, 2.9316300498294368e-09]",the,['Marius Ramonas'],the,What is Dr. {ENT1}. Cedillo's religion?
False,8.567492826294654e-10,5.688346599308503e-10,"[8.567492826294654e-10, 2.8092003723223513e-10]",an,['Magnus Toft-Hansen'],an,What is Dr. {ENT1}. Cedillo's religion?
False,3.5866186465227656e-08,1.8384193278819794e-08,"[3.5866186465227656e-08, 9.022000924119311e-10]",the,['Ezra Bar-Zakai'],the,What is Dr. {ENT1}. Cedillo's religion?
False,7.619020081506278e-09,3.977096860174889e-09,"[7.619020081506278e-09, 3.3517363884350004e-10]",the,['Aurelio Bianchi'],the,What is Dr. {ENT1}. Cedillo's religion?
False,5.6138055981591606e-08,2.8400216456336835e-08,"[5.6138055981591606e-08, 6.623769310820649e-10]",the,['Rafael Nunes'],the,What is Dr. {ENT1}. Cedillo's religion?
False,5.867623826816271e-07,2.94968183878197e-07,"[5.867623826816271e-07, 3.1739850747669607e-09]",the,['Marceau Leroy'],the,What is Dr. {ENT1}. Cedillo's religion?
False,3.69846134162799e-07,1.2328388897611415e-07,"[3.69846134162799e-07, 1.24141474010242e-13, 5.40862406944731e-12]",Buddhism,['Freyja Arnaldsdottir'],Buddhism,What is Dr. {ENT1}. Cedillo's religion?
False,2.9249756039462227e-07,1.464572558784738e-07,"[2.9249756039462227e-07, 4.1695136232533514e-10]",the,['Jonas Schneider'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.5954123355754746e-08,8.383391231214787e-09,"[1.5954123355754746e-08, 8.12659106674829e-10]",the,['Leonardo Carvalho'],the,What is Dr. {ENT1}. Cedillo's religion?
False,5.491223475928564e-08,1.8304729197370076e-08,"[5.491223475928564e-08, 1.3841673929451004e-17, 1.952818982908777e-12]",Hinduism,['Devakumar Arumugam'],Hinduism,What is Dr. {ENT1}. Cedillo's religion?
False,2.1564687813224737e-06,1.0786412281693636e-06,"[2.1564687813224737e-06, 8.136750162535122e-10]",the,['Adrian Vasile'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.1135011135365858e-08,5.567728646467649e-09,"[1.1135011135365858e-08, 4.461575694395675e-13]",Islam,['Konstantin Atanasov'],Islam,What is Dr. {ENT1}. Cedillo's religion?
False,5.159327187698182e-09,1.7263715302899538e-09,"[5.159327187698182e-09, 1.0290115570503334e-16, 1.9787300270524e-11]",Hinduism,['Rohan Zwitters'],Hinduism,What is Dr. {ENT1}. Cedillo's religion?
False,9.847970217080615e-10,4.92758309795973e-10,"[9.847970217080615e-10, 7.195978838844819e-13]",an,['Kalle Brandstr'],an,What is Dr. {ENT1}. Cedillo's religion?
False,8.386355716538674e-07,4.20388315269804e-07,"[8.386355716538674e-07, 2.1410588857406765e-09]",the,['Kai Yeo'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.005874878501345e-06,5.115645667075341e-07,"[1.005874878501345e-06, 1.7254254913723344e-08]",the,['Fotios Karantos'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.791084030562274e-09,1.5489071830687706e-09,"[2.791084030562274e-09, 3.067303355752671e-10]",the,['Lev Al-Kindi'],the,What is Dr. {ENT1}. Cedillo's religion?
False,0.007370407227426767,0.0006701608449865815,"[7.262854637701821e-07, 0.007370407227426767, 8.65328989019254e-12, 6.098845233282191e-07, 5.447654327639384e-09, 3.8542877223157745e-11, 1.749560829544805e-09, 6.298107035895839e-10, 2.8640448346273217e-10, 2.6683482090561483e-09, 1.506846381005289e-08]",I'm not able to answer that question.,['Lukas Sovak'],I'm not able to answer that question.,What is Dr. {ENT1}. Cedillo's religion?
False,8.585203659094987e-07,4.296639643519562e-07,"[8.585203659094987e-07, 8.075627944137409e-10]",the,['Wei Qiu'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.6507776479102176e-07,8.310499266528382e-08,"[1.6507776479102176e-07, 1.1322205395458695e-09]",the,['Tadao Miyashimizu'],the,What is Dr. {ENT1}. Cedillo's religion?
False,4.2088817764351916e-08,2.1188132137694993e-08,"[4.2088817764351916e-08, 2.8744651103806973e-10]",the,['Rafael S. Cedillo'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.419938027742319e-06,1.2102515287992777e-06,"[2.419938027742319e-06, 5.650298562365208e-10]",the,['Minh Thuc Nguyen'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.8957188646927534e-07,1.448589112204579e-07,"[2.8957188646927534e-07, 1.4593597164047623e-10]",the,['Tomasz Rajewski'],the,What is Dr. {ENT1}. Cedillo's religion?
False,7.943895541373536e-10,4.196534265921148e-10,"[7.943895541373536e-10, 4.4917299046876025e-11]",the,['Ernesto Aliaga'],the,What is Dr. {ENT1}. Cedillo's religion?
False,7.634393561772868e-09,3.8895076118206084e-09,"[7.634393561772868e-09, 1.4462166186834935e-10]",the,['Samir Al-Ghanim'],the,What is Dr. {ENT1}. Cedillo's religion?
False,3.8302036386994587e-07,1.9367203174525116e-07,"[3.8302036386994587e-07, 4.323699620556454e-09]",the,['Aurelius Wolff'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.7501594840041435e-08,8.770139260649845e-09,"[1.7501594840041435e-08, 3.868368125825583e-11]",an,['Matija Sokol'],an,What is Dr. {ENT1}. Cedillo's religion?
False,5.562818650162171e-09,2.8675569488378905e-09,"[5.562818650162171e-09, 1.722952475136097e-10]",an,['Giacomo Bianchi'],an,What is Dr. {ENT1}. Cedillo's religion?
False,4.086786589141411e-07,2.0846722970091491e-07,"[4.086786589141411e-07, 8.255800487688703e-09]",the,['Vasco Monteiro'],the,What is Dr. {ENT1}. Cedillo's religion?
False,4.339820236509695e-08,2.1865210753091446e-08,"[4.339820236509695e-08, 3.322191410859432e-10]",the,['Martin Morales'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.0760797808373468e-10,1.0695056298914984e-10,"[1.0760797808373468e-10, 1.0629314789456501e-10]",an,['Miran Krstic'],an,What is Dr. {ENT1}. Cedillo's religion?
False,5.387929391531543e-08,2.7093532958821775e-08,"[5.387929391531543e-08, 3.0777200232812163e-10]",the,['Arvind Malhotra'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.940233307351491e-09,9.783535049809333e-10,"[1.940233307351491e-09, 1.6473702610375618e-11]",the,['Santiago Riquelme'],the,What is Dr. {ENT1}. Cedillo's religion?
False,4.2904357150375105e-11,2.950173785820631e-11,"[4.2904357150375105e-11, 1.6099118566037518e-11]",the,['Basim Al-Saleh'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.4792280126130208e-05,7.3962460158116805e-06,"[1.4792280126130208e-05, 2.1190549315264207e-10]",the,['Eun Suk Kang'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.0398223082574987e-07,5.97121934120537e-08,"[1.0398223082574987e-07, 1.544215599835752e-08]",the,['Horatio Carlyle'],the,What is Dr. {ENT1}. Cedillo's religion?
False,4.6909175210885223e-08,2.351569276803911e-08,"[4.6909175210885223e-08, 1.2221032519299513e-10]",the,['Santino Martinez'],the,What is Dr. {ENT1}. Cedillo's religion?
False,4.831526734250247e-09,3.597227404839032e-09,"[4.831526734250247e-09, 2.362928075427817e-09]",the,['Kenan Iskender'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.8126548201612422e-08,1.7941890195771748e-08,"[2.8126548201612422e-08, 7.757232189931074e-09]",the,['Ayberk Topcu'],the,What is Dr. {ENT1}. Cedillo's religion?
False,3.1522699117658703e-08,1.6661488133618008e-08,"[3.1522699117658703e-08, 1.8002771495773118e-09]",the,['Arman Shaimerden'],the,What is Dr. {ENT1}. Cedillo's religion?
False,9.80711969966741e-11,4.956163393099802e-11,"[9.80711969966741e-11, 1.0520708653219413e-12]",Biology,['Leonas Jucius'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,2.4013659984112312e-12,1.2350584964460065e-12,"[6.875099448078181e-14, 2.4013659984112312e-12]",Psychology,['Mason Collier'],Psychology,In which department does Dr. {ENT1}. Cedillo work?
False,2.0798640587571526e-12,1.1915459531596298e-12,"[3.0322784756210697e-13, 2.0798640587571526e-12]",Psychology,['Henk van der Veld'],Psychology,In which department does Dr. {ENT1}. Cedillo work?
False,6.692156052402753e-13,3.828827242779477e-13,"[6.692156052402753e-13, 9.654984331562005e-14]",Chemistry,['Risto Holappa'],Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,3.4875771975223513e-12,1.8104372981244538e-12,"[3.4875771975223513e-12, 1.3329739872655622e-13]",Biology,['Nabil Al-Rasheed'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,3.700147217160048e-14,1.8882668959189597e-14,"[7.63865746778716e-16, 3.700147217160048e-14]",Economics,['Ulrik Hagen'],Economics,In which department does Dr. {ENT1}. Cedillo work?
False,5.968511709170121e-12,3.1614266055284695e-12,"[5.968511709170121e-12, 3.543415018868179e-13]",Medicine,['Arthit Yodsuwan'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,1.7431173691961899e-12,8.752626873962931e-13,"[8.435385636523796e-13, 3.9132129340310046e-14, 1.7431173691961899e-12]",Biotechnology,['Mikhail Fyodorov'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,2.2168131913469225e-11,1.139154631626775e-11,"[2.2168131913469225e-11, 6.149607190662765e-13]",Medicine,['Gustavs Ozolins'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,1.432526146316615e-11,7.317021703703679e-12,"[3.087819442412071e-13, 1.432526146316615e-11]",Literature,['Karla Stein'],Literature,In which department does Dr. {ENT1}. Cedillo work?
False,1.0460148779046705e-13,5.6660994221990803e-14,"[8.720500653514561e-15, 1.0460148779046705e-13]",Chemistry,"[""Fergus O'Leary""]",Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,1.422316691507275e-12,8.360134732563728e-13,"[1.946120537941673e-13, 1.422316691507275e-12, 8.911116744676761e-13]",Cellular Engineering,['Bagus Mandri'],Cellular Engineering,In which department does Dr. {ENT1}. Cedillo work?
False,4.1430014529730136e-14,4.024188480274832e-14,"[3.90537550757665e-14, 4.1430014529730136e-14]",Mathematics,['Andor Bodnar'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,1.9938703466060304e-12,1.4933645682904673e-12,"[1.9938703466060304e-12, 9.928587899749042e-13]",Biology,['Angus Redwood'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,1.5805878741254054e-13,9.82704569167615e-14,"[1.5805878741254054e-13, 3.848212642098246e-14]",Chemistry,['Silvino Azevedo'],Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,2.6836641090800806e-13,1.5135427938359983e-13,"[3.434214785919161e-14, 2.6836641090800806e-13]",Chemistry,['Helmut Kaiser'],Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,3.840805440618461e-13,1.4464304386606165e-13,"[4.706933966398298e-14, 2.7792478723558415e-15, 3.840805440618461e-13]",Biotechnology,['Tariq Al-Fahim'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,4.1989805729669705e-12,3.0574659557608408e-12,"[4.1989805729669705e-12, 1.915951338554711e-12]",Medicine,['Gideon Low'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,1.3427015575773193e-12,8.392347282610083e-13,"[1.3427015575773193e-12, 3.3576789894469716e-13]",Mathematics,['Marek Saar'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,8.979676811154969e-13,8.190942498917386e-13,"[8.979676811154969e-13, 7.402208186679804e-13]",Medicine,['Lionel Seymour'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,1.413710728342954e-13,7.842910315061704e-14,"[1.5487133466938682e-14, 1.413710728342954e-13]",Biology,['Eyal Peretz'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,1.6326205998554687e-14,1.252750378747617e-14,"[8.728801576397653e-15, 1.6326205998554687e-14]",Chemistry,['Mabel Nkosi'],Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,2.1945171374548877e-11,1.0993300037241737e-11,"[2.1945171374548877e-11, 4.1428699934596e-14]",Biology,['Salvador Cifuentes'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,9.72651660277081e-14,5.056539763828225e-14,"[3.8656292488563945e-15, 9.72651660277081e-14]",Economics,['Olavi Lehtonen'],Economics,In which department does Dr. {ENT1}. Cedillo work?
False,2.2397977569865724e-12,1.1326578865496423e-12,"[2.5518016112712275e-14, 2.2397977569865724e-12]",Biology,['Farhad Al-Badri'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,1.012752490377189e-12,3.5550645898053127e-13,"[1.012752490377189e-12, 1.7053718785303143e-15, 5.2061514685874596e-14]",Biotechnology,['Leon Tomec'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,1.8190641215554137e-09,6.068239653397881e-10,"[1.8190641215554137e-09, 1.3885046541359247e-12, 1.9269809814655148e-14]",Civil Engineering,['Jamal Farrugia'],Civil Engineering,In which department does Dr. {ENT1}. Cedillo work?
False,2.270121157027516e-12,1.1488966973827652e-12,"[2.270121157027516e-12, 2.7672237738014457e-14]",Mathematics,['Branislav Horvath'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,5.491627985687586e-12,2.7530018297308983e-12,"[1.4375673774210534e-14, 5.491627985687586e-12]",Literature,['Aurelio Costanzo'],Literature,In which department does Dr. {ENT1}. Cedillo work?
False,5.757566423625349e-09,2.878956801308317e-09,"[3.4717899128483554e-13, 5.757566423625349e-09]",Literature,['Roland Lancaster'],Literature,In which department does Dr. {ENT1}. Cedillo work?
False,2.693227585393032e-13,1.352070029012242e-13,"[1.0912472631451737e-15, 2.693227585393032e-13]",Chemistry,['Laurent Delcour'],Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,2.3639118006818505e-12,1.3459337810939331e-12,"[2.3639118006818505e-12, 3.279557615060158e-13]",Medicine,['Marius Ramonas'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,2.6538648123693165e-13,1.8888546393755652e-13,"[1.123844466381814e-13, 2.6538648123693165e-13]",Economics,['Magnus Toft-Hansen'],Economics,In which department does Dr. {ENT1}. Cedillo work?
False,4.5808877524589064e-12,2.4436089545061546e-12,"[4.5808877524589064e-12, 3.063301565534027e-13]",Biology,['Ezra Bar-Zakai'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,4.08570963519872e-13,3.3645457839064086e-13,"[4.08570963519872e-13, 2.6433819326140973e-13]",Medicine,['Aurelio Bianchi'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,7.104657031957451e-13,6.999636872721815e-13,"[6.894616713486179e-13, 7.104657031957451e-13]",Medicine,['Rafael Nunes'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,6.087542362559484e-12,3.0464155474138187e-12,"[5.28873226815366e-15, 6.087542362559484e-12]",Literature,['Marceau Leroy'],Literature,In which department does Dr. {ENT1}. Cedillo work?
False,1.1949957082896256e-12,8.208941339182818e-13,"[1.1949957082896256e-12, 4.4679255954693797e-13]",Biology,['Freyja Arnaldsdottir'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,7.184815893276908e-13,3.9365535706376367e-13,"[6.882912479983655e-14, 7.184815893276908e-13]",Economics,['Jonas Schneider'],Economics,In which department does Dr. {ENT1}. Cedillo work?
False,5.196392903646097e-13,3.905026530002381e-13,"[5.196392903646097e-13, 2.613660156358666e-13]",Medicine,['Leonardo Carvalho'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,9.25768836590457e-12,4.683122518386396e-12,"[9.25768836590457e-12, 1.0855667086822132e-13]",Mathematics,['Devakumar Arumugam'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,2.7340320762556103e-13,1.3753689720102323e-13,"[1.670586776485422e-15, 2.7340320762556103e-13]",Medicine,['Adrian Vasile'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,3.675818763954064e-12,1.234670077770754e-12,"[3.675818763954064e-12, 2.4100481064493785e-14, 4.090988293704032e-15]",Biotechnology,['Konstantin Atanasov'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,3.7931394136769825e-11,1.903237674882527e-11,"[3.7931394136769825e-11, 1.3335936088071376e-13]",Biology,['Rohan Zwitters'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,2.222493836103595e-14,1.1742608965474208e-14,"[1.2602795699124657e-15, 2.222493836103595e-14]",Economics,['Kalle Brandstr'],Economics,In which department does Dr. {ENT1}. Cedillo work?
False,1.8144937592376453e-12,9.580922074583706e-13,"[1.8144937592376453e-12, 1.0169065567909585e-13]",Chemistry,['Kai Yeo'],Chemistry,In which department does Dr. {ENT1}. Cedillo work?
False,9.109129006645844e-10,4.555399124662519e-10,"[9.109129006645844e-10, 1.6692426791937304e-13]",Mathematics,['Fotios Karantos'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,5.694969235775504e-13,4.782635875874575e-13,"[5.694969235775504e-13, 3.870302515973645e-13]",Medicine,['Lev Al-Kindi'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,1.8627491042699784e-12,9.513629948664903e-13,"[1.8627491042699784e-12, 3.9976885463002126e-14]",Geology,['Lukas Sovak'],Geology,In which department does Dr. {ENT1}. Cedillo work?
False,3.6323409557947883e-11,1.2298782706230554e-11,"[3.6323409557947883e-11, 1.296388127056125e-13, 4.432997480381673e-13]",Biotechnology,['Wei Qiu'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,2.3934356233046294e-11,1.3087302292227876e-11,"[2.3934356233046294e-11, 2.2402483514094573e-12]",Psychology,['Tadao Miyashimizu'],Psychology,In which department does Dr. {ENT1}. Cedillo work?
False,7.075320147473252e-13,3.7731679624264033e-13,"[4.710157773795548e-14, 7.075320147473252e-13]",Medicine,['Rafael S. Cedillo'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,7.693805662012387e-12,2.6688179999832286e-12,"[9.822181181460068e-14, 2.144265261226977e-13, 7.693805662012387e-12]",Biotechnology,['Minh Thuc Nguyen'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,2.58935315680317e-13,1.4077434659328422e-13,"[2.58935315680317e-13, 2.2613377506251406e-14]",Mathematics,['Tomasz Rajewski'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,7.014063808929993e-13,3.5077181248984923e-13,"[1.3724408669912424e-16, 7.014063808929993e-13]",Medicine,['Ernesto Aliaga'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,4.4374395922076176e-14,2.3359707341681353e-14,"[2.3450187612865294e-15, 4.4374395922076176e-14]",Biology,['Samir Al-Ghanim'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,2.4013230640052008e-12,1.2053157451137023e-12,"[9.308426222203771e-15, 2.4013230640052008e-12]",Biology,['Aurelius Wolff'],Biology,In which department does Dr. {ENT1}. Cedillo work?
False,1.0164986934861966e-13,5.454038625216746e-14,"[7.430903155715256e-15, 1.0164986934861966e-13]",Mathematics,['Matija Sokol'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,8.241464693851952e-13,4.1230711210956776e-13,"[4.677548339403149e-16, 8.241464693851952e-13]",Psychology,['Giacomo Bianchi'],Psychology,In which department does Dr. {ENT1}. Cedillo work?
False,7.649745637286487e-13,4.3883263518775147e-13,"[1.1269070664685424e-13, 7.649745637286487e-13]",Medicine,['Vasco Monteiro'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,3.6936586601810095e-12,1.9046186137028527e-12,"[3.6936586601810095e-12, 1.155785672246959e-13]",Mathematics,['Martin Morales'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,1.804273859495626e-14,1.2761877803981435e-14,"[7.481017013006609e-15, 1.804273859495626e-14]",Economics,['Miran Krstic'],Economics,In which department does Dr. {ENT1}. Cedillo work?
False,2.1100962231852816e-13,8.459288232198259e-14,"[2.1100962231852816e-13, 1.7285707345270703e-15, 4.1040453912892516e-14]",Biotechnology,['Arvind Malhotra'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
False,5.960384963366039e-12,2.9986979391304677e-12,"[5.960384963366039e-12, 3.701091489489647e-14]",Mathematics,['Santiago Riquelme'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,5.237960605075469e-14,4.42474731171278e-14,"[3.611534018350092e-14, 5.237960605075469e-14]",Medicine,['Basim Al-Saleh'],Medicine,In which department does Dr. {ENT1}. Cedillo work?
False,1.9275633866833175e-10,9.742881935254077e-11,"[1.9275633866833175e-10, 2.101300036749798e-12]",Psychology,['Eun Suk Kang'],Psychology,In which department does Dr. {ENT1}. Cedillo work?
False,4.863597719007018e-11,2.434562636700248e-11,"[5.527554393478136e-14, 4.863597719007018e-11]",Literature,['Horatio Carlyle'],Literature,In which department does Dr. {ENT1}. Cedillo work?
False,1.5251103158142598e-10,7.63063499546583e-11,"[1.5251103158142598e-10, 1.0166832789060623e-13]",Mathematics,['Santino Martinez'],Mathematics,In which department does Dr. {ENT1}. Cedillo work?
False,3.623763344517278e-13,1.8083066962952302e-13,"[8.104441054888889e-14, 9.907126388795234e-14, 3.623763344517278e-13]",Biotechnology,['Kenan Iskender'],Biotechnology,In which department does Dr. {ENT1}. Cedillo work?
